time,n_iter,distance,n_round,sigma,sigma_GKP,sigma_idle,with_info,method,X_err_rate,Z_err_rate,Y_err_rate,avg_n_measure
260506_152236,10000,3,3,0.0867,0.0000,0.1226,True,adaptive_global_success_one_zero_old,0.078000000000000,0.079300000000000,0.007500000000000,8.8664
260506_152236,10000,3,3,0.0800,0.0000,0.1131,True,adaptive_global_success_one_zero_old,0.034000000000000,0.037400000000000,0.002000000000000,7.2164
260506_152236,10000,3,3,0.0933,0.0000,0.1320,True,adaptive_global_success_one_zero_old,0.133200000000000,0.126300000000000,0.025200000000000,10.242
260506_152236,10000,3,3,0.1000,0.0000,0.1414,True,adaptive_global_success_one_zero_old,0.178000000000000,0.175800000000000,0.058000000000000,11.5596
260506_152238,50000,3,3,0.0667,0.0000,0.0943,True,adaptive_global_success_one_zero_old,0.002560000000000,0.002700000000000,0.000000000000000,3.91456
260506_152238,50000,3,3,0.0733,0.0000,0.1037,True,adaptive_global_success_one_zero_old,0.012900000000000,0.011440000000000,0.000060000000000,5.572
260506_152254,50000,3,3,0.0667,0.0667,0.0943,True,adaptive_global_success_one_zero_old,0.006920000000000,0.006700000000000,0.000020000000000,4.77424
260506_152324,10000,3,3,0.0867,0.0867,0.1226,True,adaptive_global_success_one_zero_old,0.121300000000000,0.121100000000000,0.018700000000000,9.9712
260506_152325,10000,3,3,0.0800,0.0800,0.1131,True,adaptive_global_success_one_zero_old,0.066100000000000,0.061500000000000,0.004700000000000,8.3536
260506_152254,50000,3,3,0.0733,0.0733,0.1037,True,adaptive_global_success_one_zero_old,0.025720000000000,0.025480000000000,0.000780000000000,6.6104
260506_152339,10000,3,3,0.0933,0.0933,0.1320,True,adaptive_global_success_one_zero_old,0.175400000000000,0.168700000000000,0.050700000000000,11.3472
260506_152236,100000,3,3,0.0400,0.0400,0.0566,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,0.09728
260506_152236,100000,3,3,0.0467,0.0467,0.0660,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,0.51768
260506_152238,100000,3,3,0.0600,0.0000,0.0849,True,adaptive_global_success_one_zero_old,0.000280000000000,0.000270000000000,0.000000000000000,2.29744
260506_152238,100000,3,3,0.0533,0.0000,0.0754,True,adaptive_global_success_one_zero_old,0.000010000000000,0.000000000000000,0.000000000000000,1.04952
260506_152238,100000,3,3,0.0400,0.0000,0.0566,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,0.05276
260506_152238,100000,3,3,0.0467,0.0000,0.0660,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,0.32668
260506_152254,100000,3,3,0.0533,0.0533,0.0754,True,adaptive_global_success_one_zero_old,0.000030000000000,0.000030000000000,0.000000000000000,1.49352
260506_152254,100000,3,3,0.0600,0.0600,0.0849,True,adaptive_global_success_one_zero_old,0.000960000000000,0.000780000000000,0.000000000000000,3.0064
260506_152704,10000,3,3,0.0800,0.0000,0.1131,True,default_tracking_old,0.035800000000000,0.033200000000000,0.001700000000000,24.0
260506_152707,10000,3,3,0.0867,0.0000,0.1226,True,default_tracking_old,0.074900000000000,0.074400000000000,0.006300000000000,24.0
260506_152717,10000,3,3,0.0933,0.0000,0.1320,True,default_tracking_old,0.129300000000000,0.127700000000000,0.022100000000000,24.0
260506_152721,10000,3,3,0.1000,0.0000,0.1414,True,default_tracking_old,0.180600000000000,0.174700000000000,0.049600000000000,24.0
260506_152704,50000,3,3,0.0667,0.0000,0.0943,True,default_tracking_old,0.002320000000000,0.002300000000000,0.000000000000000,24.0
260506_152707,50000,3,3,0.0733,0.0000,0.1037,True,default_tracking_old,0.012760000000000,0.011360000000000,0.000080000000000,24.0
260506_152743,10000,3,3,0.0800,0.0800,0.1131,True,default_tracking_old,0.073600000000000,0.062900000000000,0.005300000000000,24.0
260506_152748,10000,3,3,0.0867,0.0867,0.1226,True,default_tracking_old,0.118300000000000,0.122000000000000,0.023700000000000,24.0
260506_152656,100000,3,3,0.0467,0.0000,0.0660,True,default_tracking_old,0.000000000000000,0.000000000000000,0.000000000000000,24.0
260506_152656,100000,3,3,0.0400,0.0000,0.0566,True,default_tracking_old,0.000000000000000,0.000000000000000,0.000000000000000,24.0
260506_152659,100000,3,3,0.0533,0.0000,0.0754,True,default_tracking_old,0.000050000000000,0.000020000000000,0.000000000000000,24.0
260506_152756,10000,3,3,0.0933,0.0933,0.1320,True,default_tracking_old,0.180900000000000,0.174800000000000,0.050400000000000,24.0
260506_152702,100000,3,3,0.0600,0.0000,0.0849,True,default_tracking_old,0.000260000000000,0.000280000000000,0.000000000000000,24.0
260506_152733,50000,3,3,0.0667,0.0667,0.0943,True,default_tracking_old,0.007840000000000,0.007260000000000,0.000080000000000,24.0
260506_152736,50000,3,3,0.0733,0.0733,0.1037,True,default_tracking_old,0.029280000000000,0.027760000000000,0.000780000000000,24.0
260506_152728,100000,3,3,0.0400,0.0400,0.0566,True,default_tracking_old,0.000000000000000,0.000000000000000,0.000000000000000,24.0
260506_152728,100000,3,3,0.0467,0.0467,0.0660,True,default_tracking_old,0.000000000000000,0.000010000000000,0.000000000000000,24.0
260506_152729,100000,3,3,0.0533,0.0533,0.0754,True,default_tracking_old,0.000120000000000,0.000120000000000,0.000000000000000,24.0
260506_152731,100000,3,3,0.0600,0.0600,0.0849,True,default_tracking_old,0.001310000000000,0.001050000000000,0.000000000000000,24.0
260506_153114,10000,5,5,0.0800,0.0000,0.1131,True,adaptive_global_success_one_zero_old,0.066500000000000,0.069000000000000,0.003500000000000,54.4656
260506_153117,10000,5,5,0.0867,0.0000,0.1226,True,adaptive_global_success_one_zero_old,0.149400000000000,0.151400000000000,0.031600000000000,66.1092
260506_153137,10000,5,5,0.0933,0.0000,0.1320,True,adaptive_global_success_one_zero_old,0.209500000000000,0.221100000000000,0.099600000000000,75.6984
260506_153137,10000,5,5,0.1000,0.0000,0.1414,True,adaptive_global_success_one_zero_old,0.234100000000000,0.245400000000000,0.167600000000000,84.1128
260506_153105,50000,5,5,0.0667,0.0000,0.0943,True,adaptive_global_success_one_zero_old,0.001680000000000,0.001960000000000,0.000000000000000,31.70232
260506_153111,50000,5,5,0.0733,0.0000,0.1037,True,adaptive_global_success_one_zero_old,0.015980000000000,0.016260000000000,0.000140000000000,42.91512
260506_153322,10000,5,5,0.0800,0.0800,0.1131,True,adaptive_global_success_one_zero_old,0.131100000000000,0.128100000000000,0.022900000000000,64.3428
260506_153053,100000,5,5,0.0400,0.0000,0.0566,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,0.53628
260506_153055,100000,5,5,0.0467,0.0000,0.0660,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,3.3468
260506_153350,10000,5,5,0.0867,0.0867,0.1226,True,adaptive_global_success_one_zero_old,0.209100000000000,0.211500000000000,0.084200000000000,76.3536
260506_153102,100000,5,5,0.0533,0.0000,0.0754,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,10.17684
260506_153104,100000,5,5,0.0600,0.0000,0.0849,True,adaptive_global_success_one_zero_old,0.000120000000000,0.000040000000000,0.000000000000000,20.31372
260506_153249,50000,5,5,0.0667,0.0667,0.0943,True,adaptive_global_success_one_zero_old,0.008000000000000,0.007660000000000,0.000020000000000,38.10144
260506_153414,10000,5,5,0.0933,0.0933,0.1320,True,adaptive_global_success_one_zero_old,0.236600000000000,0.240900000000000,0.172200000000000,85.206
260506_153140,100000,5,5,0.0400,0.0400,0.0566,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,1.0236
260506_153140,100000,5,5,0.0467,0.0467,0.0660,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,5.19636
260506_153303,50000,5,5,0.0733,0.0733,0.1037,True,adaptive_global_success_one_zero_old,0.044760000000000,0.045720000000000,0.002320000000000,51.39888
260506_153159,100000,5,5,0.0533,0.0533,0.0754,True,adaptive_global_success_one_zero_old,0.000020000000000,0.000010000000000,0.000000000000000,13.95372
260506_153212,100000,5,5,0.0600,0.0600,0.0849,True,adaptive_global_success_one_zero_old,0.000440000000000,0.000550000000000,0.000000000000000,25.73568
260506_154628,10000,5,5,0.0800,0.0000,0.1131,True,default_tracking_old,0.045400000000000,0.045900000000000,0.002100000000000,120.0
260506_154658,10000,5,5,0.0867,0.0000,0.1226,True,default_tracking_old,0.119800000000000,0.130000000000000,0.022000000000000,120.0
260506_154500,100000,5,5,0.0400,0.0000,0.0566,True,default_tracking_old,0.000000000000000,0.000000000000000,0.000000000000000,120.0
260506_154559,50000,5,5,0.0667,0.0000,0.0943,True,default_tracking_old,0.000880000000000,0.000780000000000,0.000000000000000,120.0
260506_154712,10000,5,5,0.0933,0.0000,0.1320,True,default_tracking_old,0.206900000000000,0.210000000000000,0.084700000000000,120.0
260506_154519,100000,5,5,0.0467,0.0000,0.0660,True,default_tracking_old,0.000000000000000,0.000000000000000,0.000000000000000,120.0
260506_154712,10000,5,5,0.1000,0.0000,0.1414,True,default_tracking_old,0.241300000000000,0.230500000000000,0.158500000000000,120.0
260506_154519,100000,5,5,0.0533,0.0000,0.0754,True,default_tracking_old,0.000000000000000,0.000000000000000,0.000000000000000,120.0
260506_154616,50000,5,5,0.0733,0.0000,0.1037,True,default_tracking_old,0.009100000000000,0.009480000000000,0.000200000000000,120.0
260506_154531,100000,5,5,0.0600,0.0000,0.0849,True,default_tracking_old,0.000030000000000,0.000030000000000,0.000000000000000,120.0
260506_154849,10000,5,5,0.0800,0.0800,0.1131,True,default_tracking_old,0.121600000000000,0.116300000000000,0.019200000000000,120.0
260506_154903,10000,5,5,0.0867,0.0867,0.1226,True,default_tracking_old,0.204700000000000,0.201800000000000,0.081600000000000,120.0
260506_154719,100000,5,5,0.0400,0.0400,0.0566,True,default_tracking_old,0.000000000000000,0.000000000000000,0.000000000000000,120.0
260506_154907,10000,5,5,0.0933,0.0933,0.1320,True,default_tracking_old,0.248200000000000,0.238100000000000,0.167500000000000,120.0
260506_154728,100000,5,5,0.0467,0.0467,0.0660,True,default_tracking_old,0.000000000000000,0.000000000000000,0.000000000000000,120.0
260506_154744,100000,5,5,0.0533,0.0533,0.0754,True,default_tracking_old,0.000000000000000,0.000000000000000,0.000000000000000,120.0
