time,n_iter,distance,n_round,sigma,sigma_GKP,sigma_idle,with_info,method,X_err_rate,Z_err_rate,Y_err_rate,avg_n_measure
260506_152510,10000,3,3,0.0000,0.2000,0.0000,True,adaptive_global_success_one_zero_old,0.004000000000000,0.003300000000000,0.000000000000000,3.5708
260506_152517,10000,3,3,0.0000,0.2133,0.0000,True,adaptive_global_success_one_zero_old,0.010700000000000,0.012200000000000,0.000200000000000,4.878
260506_152524,10000,3,3,0.0000,0.2267,0.0000,True,adaptive_global_success_one_zero_old,0.027100000000000,0.026300000000000,0.001700000000000,6.2892
260506_152530,10000,3,3,0.0000,0.2400,0.0000,True,adaptive_global_success_one_zero_old,0.054600000000000,0.048600000000000,0.005200000000000,7.4952
260506_152504,50000,3,3,0.0000,0.1733,0.0000,True,adaptive_global_success_one_zero_old,0.000340000000000,0.000320000000000,0.000000000000000,1.53656
260506_152505,50000,3,3,0.0000,0.1867,0.0000,True,adaptive_global_success_one_zero_old,0.001260000000000,0.000940000000000,0.000000000000000,2.52888
260506_152546,10000,3,3,0.1000,0.0000,0.1000,True,adaptive_global_success_one_zero_old,0.021800000000000,0.025300000000000,0.000400000000000,5.7744
260506_152549,10000,3,3,0.1067,0.0000,0.1067,True,adaptive_global_success_one_zero_old,0.055000000000000,0.050600000000000,0.004600000000000,7.116
260506_152558,10000,3,3,0.1133,0.0000,0.1133,True,adaptive_global_success_one_zero_old,0.086800000000000,0.082900000000000,0.010000000000000,8.4932
260506_152455,100000,3,3,0.0000,0.1200,0.0000,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,0.03124
260506_152455,100000,3,3,0.0000,0.1333,0.0000,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,0.12716
260506_152456,100000,3,3,0.0000,0.1467,0.0000,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,0.37724
260506_152603,10000,3,3,0.1200,0.0000,0.1200,True,adaptive_global_success_one_zero_old,0.131900000000000,0.126300000000000,0.024900000000000,9.7112
260506_152504,100000,3,3,0.0000,0.1600,0.0000,True,adaptive_global_success_one_zero_old,0.000020000000000,0.000030000000000,0.000000000000000,0.82664
260506_152545,50000,3,3,0.0933,0.0000,0.0933,True,adaptive_global_success_one_zero_old,0.008520000000000,0.008620000000000,0.000100000000000,4.49648
260506_152545,50000,3,3,0.0867,0.0000,0.0867,True,adaptive_global_success_one_zero_old,0.002220000000000,0.002200000000000,0.000020000000000,3.2304
260506_152633,10000,3,3,0.1000,0.1000,0.1000,True,adaptive_global_success_one_zero_old,0.064900000000000,0.065200000000000,0.006600000000000,7.7136
260506_152633,10000,3,3,0.1067,0.1067,0.1067,True,adaptive_global_success_one_zero_old,0.113800000000000,0.114500000000000,0.017400000000000,9.166
260506_152535,100000,3,3,0.0667,0.0000,0.0667,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,0.57068
260506_152535,100000,3,3,0.0600,0.0000,0.0600,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,0.1998
260506_152539,100000,3,3,0.0733,0.0000,0.0733,True,adaptive_global_success_one_zero_old,0.000030000000000,0.000060000000000,0.000000000000000,1.23
260506_152617,50000,3,3,0.0867,0.0867,0.0867,True,adaptive_global_success_one_zero_old,0.012080000000000,0.011920000000000,0.000220000000000,4.82344
260506_152543,100000,3,3,0.0800,0.0000,0.0800,True,adaptive_global_success_one_zero_old,0.000460000000000,0.000420000000000,0.000000000000000,2.15212
260506_152650,10000,3,3,0.1133,0.1133,0.1133,True,adaptive_global_success_one_zero_old,0.165000000000000,0.158500000000000,0.040900000000000,10.7036
260506_152650,10000,3,3,0.1200,0.1200,0.1200,True,adaptive_global_success_one_zero_old,0.198000000000000,0.192100000000000,0.074400000000000,11.908
260506_152621,50000,3,3,0.0933,0.0933,0.0933,True,adaptive_global_success_one_zero_old,0.032120000000000,0.030420000000000,0.001080000000000,6.27552
260506_152611,100000,3,3,0.0600,0.0600,0.0600,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,0.48748
260506_152612,100000,3,3,0.0667,0.0667,0.0667,True,adaptive_global_success_one_zero_old,0.000040000000000,0.000030000000000,0.000000000000000,1.15272
260506_152612,100000,3,3,0.0733,0.0733,0.0733,True,adaptive_global_success_one_zero_old,0.000520000000000,0.000460000000000,0.000000000000000,2.15152
260506_152612,100000,3,3,0.0800,0.0800,0.0800,True,adaptive_global_success_one_zero_old,0.003060000000000,0.002740000000000,0.000020000000000,3.39164
260506_152927,10000,3,3,0.0000,0.2000,0.0000,True,default_tracking_old,0.025600000000000,0.029500000000000,0.000300000000000,24.0
260506_152928,10000,3,3,0.0000,0.2133,0.0000,True,default_tracking_old,0.052000000000000,0.055300000000000,0.002200000000000,24.0
260506_152941,10000,3,3,0.0000,0.2267,0.0000,True,default_tracking_old,0.085900000000000,0.080400000000000,0.007000000000000,24.0
260506_152942,10000,3,3,0.0000,0.2400,0.0000,True,default_tracking_old,0.118000000000000,0.116600000000000,0.019800000000000,24.0
260506_152922,50000,3,3,0.0000,0.1733,0.0000,True,default_tracking_old,0.004440000000000,0.003940000000000,0.000040000000000,24.0
260506_152926,50000,3,3,0.0000,0.1867,0.0000,True,default_tracking_old,0.012280000000000,0.011780000000000,0.000140000000000,24.0
260506_152959,10000,3,3,0.1000,0.0000,0.1000,True,default_tracking_old,0.043200000000000,0.040400000000000,0.002600000000000,24.0
260506_153009,10000,3,3,0.1067,0.0000,0.1067,True,default_tracking_old,0.074100000000000,0.074700000000000,0.007600000000000,24.0
260506_152915,100000,3,3,0.0000,0.1200,0.0000,True,default_tracking_old,0.000010000000000,0.000000000000000,0.000000000000000,24.0
260506_153011,10000,3,3,0.1133,0.0000,0.1133,True,default_tracking_old,0.120400000000000,0.124600000000000,0.016900000000000,24.0
260506_152917,100000,3,3,0.0000,0.1467,0.0000,True,default_tracking_old,0.000240000000000,0.000150000000000,0.000000000000000,24.0
260506_152917,100000,3,3,0.0000,0.1333,0.0000,True,default_tracking_old,0.000010000000000,0.000010000000000,0.000000000000000,24.0
260506_152921,100000,3,3,0.0000,0.1600,0.0000,True,default_tracking_old,0.001280000000000,0.001100000000000,0.000000000000000,24.0
