time,n_iter,distance,n_round,sigma,sigma_GKP,sigma_idle,with_info,method,X_err_rate,Z_err_rate,Y_err_rate,avg_n_measure
260506_152402,10000,3,3,0.1267,0.0000,0.0896,True,adaptive_global_success_one_zero_old,0.032000000000000,0.032600000000000,0.001900000000000,5.438
260506_152402,10000,3,3,0.1333,0.0000,0.0943,True,adaptive_global_success_one_zero_old,0.062900000000000,0.059800000000000,0.005500000000000,6.596
260506_152402,10000,3,3,0.1200,0.0000,0.0849,True,adaptive_global_success_one_zero_old,0.016000000000000,0.017200000000000,0.000300000000000,4.424
260506_152405,10000,3,3,0.1400,0.0000,0.0990,True,adaptive_global_success_one_zero_old,0.099900000000000,0.088800000000000,0.014300000000000,7.8312
260506_152354,50000,3,3,0.1067,0.0000,0.0754,True,adaptive_global_success_one_zero_old,0.002500000000000,0.001920000000000,0.000000000000000,2.54216
260506_152355,50000,3,3,0.1133,0.0000,0.0801,True,adaptive_global_success_one_zero_old,0.006600000000000,0.005980000000000,0.000060000000000,3.3924
260506_152437,10000,3,3,0.1200,0.1200,0.0849,True,adaptive_global_success_one_zero_old,0.078900000000000,0.075000000000000,0.009800000000000,7.4204
260506_152437,10000,3,3,0.1267,0.1267,0.0896,True,adaptive_global_success_one_zero_old,0.117300000000000,0.111800000000000,0.022400000000000,8.7464
260506_152338,100000,3,3,0.0933,0.0000,0.0660,True,adaptive_global_success_one_zero_old,0.000100000000000,0.000080000000000,0.000000000000000,1.10096
260506_152338,100000,3,3,0.0800,0.0000,0.0566,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,0.2976
260506_152339,100000,3,3,0.0867,0.0000,0.0613,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000020000000000,0.000000000000000,0.63116
260506_152450,10000,3,3,0.1333,0.1333,0.0943,True,adaptive_global_success_one_zero_old,0.156700000000000,0.156300000000000,0.048900000000000,10.292
260506_152450,10000,3,3,0.1400,0.1400,0.0990,True,adaptive_global_success_one_zero_old,0.203600000000000,0.186800000000000,0.073100000000000,11.5224
260506_152421,50000,3,3,0.1067,0.1067,0.0754,True,adaptive_global_success_one_zero_old,0.019460000000000,0.019020000000000,0.000660000000000,4.84968
260506_152421,50000,3,3,0.1133,0.1133,0.0801,True,adaptive_global_success_one_zero_old,0.044020000000000,0.042540000000000,0.002900000000000,6.11368
260506_152355,100000,3,3,0.1000,0.0000,0.0707,True,adaptive_global_success_one_zero_old,0.000600000000000,0.000460000000000,0.000000000000000,1.74064
260506_152415,100000,3,3,0.0800,0.0800,0.0566,True,adaptive_global_success_one_zero_old,0.000050000000000,0.000020000000000,0.000000000000000,0.97904
260506_152415,100000,3,3,0.0867,0.0867,0.0613,True,adaptive_global_success_one_zero_old,0.000400000000000,0.000450000000000,0.000000000000000,1.69048
260506_152421,100000,3,3,0.0933,0.0933,0.0660,True,adaptive_global_success_one_zero_old,0.001850000000000,0.001820000000000,0.000020000000000,2.60696
260506_152421,100000,3,3,0.1000,0.1000,0.0707,True,adaptive_global_success_one_zero_old,0.007310000000000,0.006990000000000,0.000100000000000,3.66468
260506_152814,10000,3,3,0.1200,0.0000,0.0849,True,default_tracking_old,0.059600000000000,0.052300000000000,0.003800000000000,24.0
