time,n_iter,distance,n_round,sigma,sigma_GKP,sigma_idle,with_info,method,X_err_rate,Z_err_rate,Y_err_rate,avg_n_measure
260604_115235,100000,3,3,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_3,0.000020000000000,0.000030000000000,0.000000000000000,0.0
260604_115235,100000,3,3,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_3,0.000110000000000,0.000060000000000,0.000000000000000,1.11188
260604_115235,100000,3,4,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_3-4,0.000350000000000,0.000290000000000,0.000000000000000,9.119
260604_115235,100000,3,4,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_3-4,0.000220000000000,0.000240000000000,0.000000000000000,8.0
260604_115235,100000,3,5,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_3-5,0.000990000000000,0.000680000000000,0.000000000000000,8.0
260604_115235,100000,3,5,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_3-5,0.000880000000000,0.000690000000000,0.000000000000000,11.01856
260604_115229,100000,3,6,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_3-6,0.000900000000000,0.001090000000000,0.000000000000000,8.0
260604_115229,100000,3,6,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_3-6,0.001210000000000,0.001210000000000,0.000000000000000,11.86316
260604_115229,100000,3,7,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_3-6-7,0.001830000000000,0.001750000000000,0.000000000000000,19.86076
260604_115229,100000,3,7,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_3-6-7,0.001740000000000,0.001560000000000,0.000010000000000,16.0
260604_115229,100000,3,8,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_3-6-8,0.002650000000000,0.002500000000000,0.000010000000000,16.0
260604_115229,100000,3,8,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_3-6-8,0.002690000000000,0.002290000000000,0.000000000000000,21.78728
260604_115226,100000,3,9,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_3-6-9,0.002910000000000,0.002980000000000,0.000010000000000,16.0
260604_115226,100000,3,9,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_3-6-9,0.003010000000000,0.002940000000000,0.000010000000000,22.61192
260604_115226,100000,3,10,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_3-6-9-10,0.003660000000000,0.003670000000000,0.000010000000000,24.0
260604_115226,100000,3,10,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_3-6-9-10,0.003220000000000,0.003360000000000,0.000020000000000,30.61404
260604_115226,100000,3,11,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_3-6-9-11,0.004450000000000,0.005030000000000,0.000020000000000,24.0
260604_115226,100000,3,11,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_3-6-9-11,0.004060000000000,0.004110000000000,0.000030000000000,32.53096
260604_115346,100000,3,12,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_3-6-9-12,0.005260000000000,0.004730000000000,0.000010000000000,24.0
260604_115346,100000,3,12,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_3-6-9-12,0.004640000000000,0.004560000000000,0.000030000000000,33.36208
260604_115402,100000,3,13,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_3-6-9-12-13,0.005840000000000,0.006090000000000,0.000030000000000,32.0
260604_115403,100000,3,13,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_3-6-9-12-13,0.005380000000000,0.004950000000000,0.000040000000000,41.30952
260604_115421,100000,3,14,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_3-6-9-12-14,0.007510000000000,0.007060000000000,0.000010000000000,32.0
260604_115419,100000,3,14,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_3-6-9-12-14,0.006170000000000,0.006040000000000,0.000060000000000,43.27344
260604_115434,100000,3,15,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_3-6-9-12-15,0.007730000000000,0.007550000000000,0.000050000000000,32.0
260604_115434,100000,3,15,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_3-6-9-12-15,0.006210000000000,0.006490000000000,0.000060000000000,44.09912
260604_115451,100000,3,16,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_3-6-9-12-15-16,0.008080000000000,0.007730000000000,0.000070000000000,40.0
