time,n_iter,distance,n_round,sigma,sigma_GKP,sigma_idle,with_info,method,X_err_rate,Z_err_rate,Y_err_rate,avg_n_measure
260512_182250,100000,3,3,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000190000000000,0.000100000000000,0.000000000000000,1.20532
260512_182417,100000,3,3,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000160000000000,0.000130000000000,0.000000000000000,1.20356
260512_182542,100000,3,3,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000130000000000,0.000110000000000,0.000000000000000,1.19744
260512_182708,100000,3,3,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000100000000000,0.000090000000000,0.000000000000000,1.2194
260512_182754,100000,3,3,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000070000000000,0.000140000000000,0.000000000000000,1.20356
260512_182832,100000,3,3,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000120000000000,0.000100000000000,0.000000000000000,1.20388
260512_182919,100000,3,3,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000110000000000,0.000110000000000,0.000000000000000,1.19376
260512_182957,100000,3,3,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000110000000000,0.000100000000000,0.000000000000000,1.19384
260512_183043,100000,5,5,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000030000000000,0.000050000000000,0.000000000000000,6.98412
260512_183128,100000,5,5,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000040000000000,0.000030000000000,0.000000000000000,6.99708
260512_183509,100000,5,5,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000060000000000,0.000040000000000,0.000000000000000,6.93312
260512_183551,100000,5,5,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000040000000000,0.000060000000000,0.000000000000000,7.04448
260512_183911,100000,5,5,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000050000000000,0.000040000000000,0.000000000000000,7.00176
260512_183936,100000,5,5,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000070000000000,0.000040000000000,0.000000000000000,6.99708
260512_184015,100000,5,5,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000060000000000,0.000060000000000,0.000000000000000,6.90924
260512_184335,100000,5,5,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000090000000000,0.000010000000000,0.000000000000000,6.915
260512_184359,100000,5,5,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000010000000000,0.000050000000000,0.000000000000000,6.97644
260512_184438,100000,5,5,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000050000000000,0.000020000000000,0.000000000000000,7.0002
260512_184817,100000,5,5,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000030000000000,0.000050000000000,0.000000000000000,6.99012
260512_184822,100000,5,5,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000050000000000,0.000050000000000,0.000000000000000,7.03656
260512_184849,100000,7,7,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000010000000000,0.000000000000000,0.000000000000000,7.45032
260512_184902,100000,7,7,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000010000000000,0.000000000000000,0.000000000000000,7.57344
260512_185246,100000,7,7,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,7.52448
260512_185244,100000,7,7,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000020000000000,0.000010000000000,0.000000000000000,7.59456
